year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified,rank
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,47905,3651590,20210113,,OTHER,3.0
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,False,5407,3651590,20210113,,LIBERTARIAN,4.0
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"WRIGHT, MARGARET",HUMAN RIGHTS,False,3504,3651590,20210113,,OTHER,5.0
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,False,1804,3651590,20210113,,OTHER,6.0
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,1366,3651590,20210113,,OTHER,7.0
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,False,1148,3651590,20210113,,OTHER,8.0
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1070440,1949931,20210113,,DEMOCRAT,1.0
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,819395,1949931,20210113,,REPUBLICAN,2.0
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",MCCARTHY '76,False,35490,1949931,20210113,,OTHER,3.0
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,False,13592,1949931,20210113,,OTHER,4.0
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,False,4149,1949931,20210113,,OTHER,5.0
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,False,3529,1949931,20210113,,LIBERTARIAN,6.0
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,False,1092,1949931,20210113,,OTHER,7.0
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"WRIGHT, MARGARET",PEOPLE'S,False,635,1949931,20210113,,OTHER,8.0
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"LAROUCHE, LYNDON, JR.",INTERNATIONAL DEVELOPMENT BANK,False,543,1949931,20210113,,OTHER,9.0
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",INDUSTRIAL GOVERNMENT PARTY,False,370,1949931,20210113,,OTHER,10.0
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"ZEIDLER, FRANK",SOCIALIST,False,354,1949931,20210113,,OTHER,11.0
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,,,True,342,1949931,20210113,,OTHER,12.0
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,381329,768390,20210113,,DEMOCRAT,1.0
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,366846,768390,20210113,,REPUBLICAN,2.0
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,False,6678,768390,20210113,,OTHER,3.0
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,4074,768390,20210113,,OTHER,4.0
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,4049,768390,20210113,,OTHER,5.0
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,False,2805,768390,20210113,,OTHER,6.0
