index,year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified,rank,previous_winner_party,change,swing
3741,2020,ALABAMA,AL,1,63,41,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1441170,2323282,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
342,1980,ALASKA,AK,2,94,81,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,86112,158445,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
703,1984,ALASKA,AK,2,94,81,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,138377,207605,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
1024,1988,ALASKA,AK,2,94,81,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,119251,200116,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
1310,1992,ALASKA,AK,2,94,81,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,102000,258506,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
1680,1996,ALASKA,AK,2,94,81,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,122746,241620,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
2047,2000,ALASKA,AK,2,94,81,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,167398,285560,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
2415,2004,ALASKA,AK,2,94,81,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,190889,312598,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
2732,2008,ALASKA,AK,2,94,81,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,193841,326197,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
3083,2012,ALASKA,AK,2,94,81,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,164676,300495,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
3400,2016,ALASKA,AK,2,94,81,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,163387,318608,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
3745,2020,ALASKA,AK,2,94,81,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,189951,359530,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
347,1980,ARIZONA,AZ,4,86,61,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,529688,873945,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
707,1984,ARIZONA,AZ,4,86,61,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,681416,1025897,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
1030,1988,ARIZONA,AZ,4,86,61,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,702541,1171873,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
1320,1992,ARIZONA,AZ,4,86,61,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,572086,1486975,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
1688,1996,ARIZONA,AZ,4,86,61,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,653288,1404405,20210113,,DEMOCRAT,1.0,REPUBLICAN,1,to Dem.
2055,2000,ARIZONA,AZ,4,86,61,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,781652,1532016,20210113,,REPUBLICAN,1.0,DEMOCRAT,1,to Rep.
2422,2004,ARIZONA,AZ,4,86,61,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,1104294,2012585,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
2738,2008,ARIZONA,AZ,4,86,61,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,1230111,2293475,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
3088,2012,ARIZONA,AZ,4,86,61,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,1233654,2299254,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
3407,2016,ARIZONA,AZ,4,86,61,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1252401,2573165,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
3752,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1672143,3387326,20210113,,DEMOCRAT,1.0,REPUBLICAN,1,to Dem.
355,1980,ARKANSAS,AR,5,71,42,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,403164,837582,20210113,,REPUBLICAN,1.0,DEMOCRAT,1,to Rep.
711,1984,ARKANSAS,AR,5,71,42,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,534774,884406,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
1035,1988,ARKANSAS,AR,5,71,42,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,466578,827738,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
1328,1992,ARKANSAS,AR,5,71,42,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,505823,950653,20210113,,DEMOCRAT,1.0,REPUBLICAN,1,to Dem.
1694,1996,ARKANSAS,AR,5,71,42,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,475171,884262,20210113,,DEMOCRAT,1.0,DEMOCRAT,0,no swing
2062,2000,ARKANSAS,AR,5,71,42,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,472940,921781,20210113,,REPUBLICAN,1.0,DEMOCRAT,1,to Rep.
2426,2004,ARKANSAS,AR,5,71,42,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,572898,1054945,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
2744,2008,ARKANSAS,AR,5,71,42,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,638017,1086617,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
3093,2012,ARKANSAS,AR,5,71,42,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,647744,1069468,20210113,,REPUBLICAN,1.0,REPUBLICAN,0,no swing
