year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified,rank,previous_winner_party,change
2000,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,174852,288256,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,196651,312833,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,168601,316621,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,188320,322932,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,216794,344360,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,235595,361819,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,OHIO,OH,39,31,24,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2009959,4110456,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1980,OHIO,OH,39,31,24,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2206545,4283603,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1984,OHIO,OH,39,31,24,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2678559,4563235,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,OHIO,OH,39,31,24,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,2416549,4393585,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,OHIO,OH,39,31,24,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,1984942,4939967,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1996,OHIO,OH,39,31,24,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,2148222,4534434,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,OHIO,OH,39,31,24,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,2350363,4701998,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
2004,OHIO,OH,39,31,24,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,2859764,5627903,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,OHIO,OH,39,31,24,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,2940044,5708350,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
2012,OHIO,OH,39,31,24,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,2827621,5580822,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,OHIO,OH,39,31,24,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,2841005,5496487,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
2020,OHIO,OH,39,31,24,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,3154834,5922202,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,OKLAHOMA,OK,40,73,53,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,545708,1092251,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1980,OKLAHOMA,OK,40,73,53,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,695570,1149708,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,OKLAHOMA,OK,40,73,53,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,861530,1255676,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,OKLAHOMA,OK,40,73,53,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,678367,1171036,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,OKLAHOMA,OK,40,73,53,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,592929,1390359,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1996,OKLAHOMA,OK,40,73,53,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,582315,1206713,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2000,OKLAHOMA,OK,40,73,53,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,744337,1234229,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,OKLAHOMA,OK,40,73,53,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,959792,1463758,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,OKLAHOMA,OK,40,73,53,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,960165,1462661,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,OKLAHOMA,OK,40,73,53,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,891325,1334872,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,OKLAHOMA,OK,40,73,53,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,949136,1452992,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,OKLAHOMA,OK,40,73,53,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1020280,1560699,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,OREGON,OR,41,92,72,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,492120,1029876,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1980,OREGON,OR,41,92,72,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,571044,1181516,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,OREGON,OR,41,92,72,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,685700,1226527,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,OREGON,OR,41,92,72,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,616206,1201694,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1992,OREGON,OR,41,92,72,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,621314,1462643,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1996,OREGON,OR,41,92,72,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,649641,1377760,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,OREGON,OR,41,92,72,US PRESIDENT,"GORE, AL",DEMOCRAT,False,720342,1533950,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2004,OREGON,OR,41,92,72,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,False,943163,1836782,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2008,OREGON,OR,41,92,72,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,1037291,1827864,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2012,OREGON,OR,41,92,72,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,970488,1789270,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,OREGON,OR,41,92,72,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,1002106,2001336,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2020,OREGON,OR,41,92,72,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1340383,2374321,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1976,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2328677,4620787,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1980,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2261872,4561501,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1984,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2584323,4844903,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,2300087,4536251,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,2239164,4959810,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1996,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,2215819,4501307,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"GORE, AL",DEMOCRAT,False,2485967,4912185,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2004,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,False,2938095,5769590,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2008,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,3276363,6013272,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2012,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,2990274,5742040,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,2970733,6115402,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
2020,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,3458229,6915283,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1976,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,227636,410584,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1980,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,198342,415967,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1984,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,212080,410489,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1988,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,225123,404622,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1992,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,213299,453365,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1996,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,233050,390247,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"GORE, AL",DEMOCRAT,False,249508,409112,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2004,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,False,259760,437134,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2008,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,296571,471766,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2012,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,279677,446049,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,252525,464144,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2020,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,307486,516990,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1976,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,450807,802583,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1980,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,439277,888258,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1984,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,615539,968529,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,606443,986009,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,577507,1228912,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1996,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,573339,1150182,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2000,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,786892,1383902,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,937974,1617700,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,1034896,1920969,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,1071645,1964118,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1155389,2103027,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1385103,2514096,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,151505,300678,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1980,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,198343,327703,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,200267,317867,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,165415,312991,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,136718,336254,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1996,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,150543,323826,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2000,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,190700,316269,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,232584,388215,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,203054,381975,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,210610,363815,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,227721,370093,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,261043,422609,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,TENNESSEE,TN,47,62,54,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,825879,1476346,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1980,TENNESSEE,TN,47,62,54,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,787761,1617616,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1984,TENNESSEE,TN,47,62,54,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,990212,1711993,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,TENNESSEE,TN,47,62,54,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,947233,1636250,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,TENNESSEE,TN,47,62,54,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,933521,1982638,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1996,TENNESSEE,TN,47,62,54,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,909146,1894105,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,TENNESSEE,TN,47,62,54,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,1061949,2076181,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
2004,TENNESSEE,TN,47,62,54,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,1384375,2437319,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,TENNESSEE,TN,47,62,54,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,1479178,2599749,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,TENNESSEE,TN,47,62,54,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,1462330,2458577,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,TENNESSEE,TN,47,62,54,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1522925,2508027,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,TENNESSEE,TN,47,62,54,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1852475,3053851,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,TEXAS,TX,48,74,49,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2082319,4071884,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1980,TEXAS,TX,48,74,49,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2510705,4541636,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1984,TEXAS,TX,48,74,49,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,3433428,5397571,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,TEXAS,TX,48,74,49,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,3036829,5427410,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,TEXAS,TX,48,74,49,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,2496071,6154018,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1996,TEXAS,TX,48,74,49,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,2736167,5611644,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2000,TEXAS,TX,48,74,49,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,3799639,6407637,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,TEXAS,TX,48,74,49,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,4526917,7410749,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,TEXAS,TX,48,74,49,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,4479328,8077795,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,TEXAS,TX,48,74,49,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,4569843,7993851,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,TEXAS,TX,48,74,49,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,4685047,8969226,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,TEXAS,TX,48,74,49,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,5890347,11315056,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,UTAH,UT,49,87,67,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,337908,541218,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1980,UTAH,UT,49,87,67,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,439687,604152,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,UTAH,UT,49,87,67,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,469105,629656,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,UTAH,UT,49,87,67,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,428442,647008,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,UTAH,UT,49,87,67,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,322632,743998,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1996,UTAH,UT,49,87,67,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,361911,665629,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2000,UTAH,UT,49,87,67,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,515096,770754,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,UTAH,UT,49,87,67,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,663742,927844,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,UTAH,UT,49,87,67,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,596030,952370,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,UTAH,UT,49,87,67,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,740600,1017440,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,UTAH,UT,49,87,67,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,515211,1131317,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,UTAH,UT,49,87,67,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,865140,1488289,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,VERMONT,VT,50,13,6,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,100387,183902,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1980,VERMONT,VT,50,13,6,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,94628,213299,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,VERMONT,VT,50,13,6,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,135865,234561,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,VERMONT,VT,50,13,6,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,124331,243328,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,VERMONT,VT,50,13,6,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,133592,289701,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1996,VERMONT,VT,50,13,6,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,137894,258449,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,VERMONT,VT,50,13,6,US PRESIDENT,"GORE, AL",DEMOCRAT,False,149022,294308,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2004,VERMONT,VT,50,13,6,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,False,184067,312309,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2008,VERMONT,VT,50,13,6,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,219262,325046,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2012,VERMONT,VT,50,13,6,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,199239,299290,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,VERMONT,VT,50,13,6,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,178573,320467,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2020,VERMONT,VT,50,13,6,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,242820,370968,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1976,VIRGINIA,VA,51,54,40,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,836554,1697094,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1980,VIRGINIA,VA,51,54,40,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,989609,1866032,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,VIRGINIA,VA,51,54,40,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1337078,2146635,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,VIRGINIA,VA,51,54,40,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,1309162,2191609,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,VIRGINIA,VA,51,54,40,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,1150517,2559129,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1996,VIRGINIA,VA,51,54,40,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,1138350,2416642,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2000,VIRGINIA,VA,51,54,40,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,1437490,2739447,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,VIRGINIA,VA,51,54,40,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,1716959,3195415,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,VIRGINIA,VA,51,54,40,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,1959532,3723260,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
2012,VIRGINIA,VA,51,54,40,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,1971820,3854489,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,VIRGINIA,VA,51,54,40,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,1981473,3982752,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2020,VIRGINIA,VA,51,54,40,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,2413568,4460524,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1976,WASHINGTON,WA,53,91,73,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,777732,1555534,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1980,WASHINGTON,WA,53,91,73,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,865244,1742394,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,WASHINGTON,WA,53,91,73,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1051670,1874910,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,WASHINGTON,WA,53,91,73,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,933516,1865253,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1992,WASHINGTON,WA,53,91,73,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,993037,2287565,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
