level_0,index,year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified,rank,second_candidate_votes,margin,relative_margin
130,426,1980,INDIANA,IN,18,32,22,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1255656,2242033,20210113,,REPUBLICAN,1.0,844197.0,411459.0,0.1835204923388728
132,434,1980,IOWA,IA,19,42,31,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,676026,1317661,20210113,,REPUBLICAN,1.0,508672.0,167354.0,0.12700838834874828
134,445,1980,KANSAS,KS,20,47,32,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,566812,979795,20210113,,REPUBLICAN,1.0,326150.0,240662.0,0.2456248500961936
136,453,1980,KENTUCKY,KY,21,61,51,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,635274,1295627,20210113,,REPUBLICAN,1.0,617417.0,17857.0,0.01378251610996066
138,461,1980,LOUISIANA,LA,22,72,45,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,792853,1548591,20210113,,REPUBLICAN,1.0,708453.0,84400.0,0.054501156212324625
140,468,1980,MAINE,ME,23,11,2,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,238522,523011,20210113,,REPUBLICAN,1.0,220974.0,17548.0,0.03355187558196673
142,475,1980,MARYLAND,MD,24,52,52,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,726161,1540496,20210113,,DEMOCRAT,1.0,680606.0,45555.0,0.029571644457369574
144,479,1980,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1057631,2524090,20210113,,REPUBLICAN,1.0,1053802.0,3829.0,0.001516982357998328
146,486,1980,MICHIGAN,MI,26,34,23,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1915225,3909725,20210113,,REPUBLICAN,1.0,1661532.0,253693.0,0.06488768391638798
148,493,1980,MINNESOTA,MN,27,41,33,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,954173,2051916,20210113,,DEMOCRAT,1.0,873268.0,80905.0,0.039429001966942115
150,504,1980,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,441089,891750,20210113,,REPUBLICAN,1.0,429281.0,11808.0,0.013241379310344827
152,510,1980,MISSOURI,MO,29,43,34,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1074181,2099824,20210113,,REPUBLICAN,1.0,931182.0,142999.0,0.06810046937267124
154,516,1980,MONTANA,MT,30,81,64,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,206814,363952,20210113,,REPUBLICAN,1.0,118032.0,88782.0,0.24393876115531718
156,520,1980,NEBRASKA,NE,31,46,35,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,419214,639533,20210113,,REPUBLICAN,1.0,166424.0,252790.0,0.39527280062170367
158,524,1980,NEVADA,NV,32,88,65,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,155017,243692,20210113,,REPUBLICAN,1.0,66666.0,88351.0,0.36255190978776486
160,528,1980,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,221705,383990,20210113,,REPUBLICAN,1.0,108864.0,112841.0,0.2938644235526967
162,537,1980,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1546557,2975684,20210113,,REPUBLICAN,1.0,1147364.0,399193.0,0.13415167739585251
164,550,1980,NEW MEXICO,NM,35,85,66,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,250779,456237,20210113,,REPUBLICAN,1.0,167826.0,82953.0,0.18181997514449727
166,557,1980,NEW YORK,NY,36,21,13,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2728372,6201959,20210113,,DEMOCRAT,1.0,2637700.0,90672.0,0.014619896713280433
168,568,1980,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,915018,1855833,20210113,,REPUBLICAN,1.0,875635.0,39383.0,0.021221198243591963
170,574,1980,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,193695,301116,20210113,,REPUBLICAN,1.0,79189.0,114506.0,0.38027205462346736
172,584,1980,OHIO,OH,39,31,24,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2206545,4283603,20210113,,REPUBLICAN,1.0,1752414.0,454131.0,0.10601612707806957
174,593,1980,OKLAHOMA,OK,40,73,53,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,695570,1149708,20210113,,REPUBLICAN,1.0,402026.0,293544.0,0.25532048137440116
176,597,1980,OREGON,OR,41,92,72,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,571044,1181516,20210113,,REPUBLICAN,1.0,456890.0,114154.0,0.09661655026254405
178,603,1980,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2261872,4561501,20210113,,REPUBLICAN,1.0,1937540.0,324332.0,0.071102034176908
180,610,1980,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,198342,415967,20210113,,DEMOCRAT,1.0,154793.0,43549.0,0.10469340115922657
